нет названия|нет описания
экотуризм|Экотуризм — туризм, включающий путешествия в места с относительно нетронутой природой, с целью получить представление о природных и культурно-этнографических особенностях данной местности, который не нарушает при этом целостности экосистем и создает такие экономические условия, при которых охрана природы и природных ресурсов становится выгодной для местного населения
фотоохота|Фотоохота (англ. Wildlife Photography) — вид фотографии, объектом съёмки в котором являются птицы, звери, насекомые и другие существа в естественных природных условиях. Объединяет в себе три аспекта — спортивный (поэтому может рассматриваться также как новый вид спортивной охоты, появившийся в начале XX века и ставший особенно популярным в наше время); — познавательный, в котором смыкается с фотографией как методом научных исследований в области биологии в которой документальность рассматривается как основное требование; — художественный, так как образует один из видов художественной фотографии как вида искусства — в этом случае эстетический критерий становится основным для оценки результатов.
агротуризм|Сельский туризм (агротуризм) — сектор туристской индустрии, ориентированный на использование природных, культурно-исторических и других ресурсов сельской местности и её особенностей для создания комплексного туристского продукта. Туристы ведут сельский образ жизни, знакомятся с местными культурой и обычаями, принимают участие в традиционном сельском труде.
экзотический туризм|Экзотический туризм - это как раз путешествие в какие-то необычные районы, получение новых острых ощущений, а иногда даже некоторый экстрим.
приключенческий туризм|Приключенческий туризм − вид туризма, связанный с организацией нестандартных туров с необычными нетрадиционными транспортными средствами. К приключенческому туризму относятся походные экспедиции, сафари-туры (охота, рыбалка, фотоохота и др.), кругосветное плавание (яхтинг). Есть туры на затонувшие корабли, потухшие вулканы или места катастроф самолетов, на руины зданий и т. д.
экстремальный туризм|Экстремальный туризм — в широком смысле один из видов туристического отдыха, в той или иной степени связанный с риском.
религиозный туризм|Религиозный туризм — это путешествия к религиозным центрам, святым местам, которые находятся за пределами привычной для туриста среды. Временные отрезки — до 6 месяцев. Религиозный туризм — самый древний и самый немногочисленный (в наши дни) вид туризма.
деловой (конгрессо-выстаывочный, интенсив) туризм|Деловой туризм (Бизнес-туризм) – это путешествия со служебными или профессиональными целями без получения доходов. Поездки с деловыми целями рассматриваются как одна из важнейших составных частей международного туристского обмена. К деловому туризму ВТО относит поездки для участия в съездах, научных конгрессах и конференциях, производственных семинарах и совещаниях, ярмарках, выставках, салонах, а также с целью проведения переговоров и заключения контрактов.
круизный туризм|Круизный туризм — это речное или морское путешествие на водном транспорте по замкнутому маршруту с остановками для экскурсий в портовых городах.
конный туризм|Конный туризм — это различное по протяженности и сложности путешествие верхом на лошадях, особая разновидность спортивного туризма, при которой совершаются прохождения на лошади интересных маршрутов, содержащих специфические препятствия (леса, перевалы, реки).
